10years_category_r_squared,10yrs_sharpe_ratio_fund,10_years_alpha_fund,10years_fund_r_squared,10years_fund_std,10yrs_sharpe_ratio_category,10_years_beta_fund,10yrs_treynor_ratio_fund,fund_id,10_years_return_mean_annual_category,10yrs_treynor_ratio_category,10_years_return_fund,10_years_alpha_category,10_years_beta_category,10years_category_std,10_years_return_mean_annual_fund,10_years_return_category
0.9,0.94,-3.13,90.6,15.34,0.01,1.15,12.26,427e1682-7395-4dc1-b39b-39e9db1ef676,0.01,0.14,14.55,-0.02,0.01,0.13,1.24,13.68
0.73,,,,,0.01,,,f10e3a1f-b80b-47a7-96f3-56c5d660f242,0.01,0.13,0.0,-0.02,0.01,0.18,,16.24
0.97,,,,,0.01,,,2f70ec16-9e3e-4761-8ff1-2a0440d800ab,0.01,0.08,0.0,-0.02,0.02,0.12,,12.09
0.94,0.56,-0.19,96.15,15.65,0.01,0.97,8.16,58b0fed0-7cdf-4fcc-9a08-ce214b8d1cc5,0.01,0.08,8.4,-0.0,0.01,0.16,0.78,8.43
0.56,0.22,-9.89,53.41,24.77,0.0,1.3,1.96,2169f965-82b4-4b9d-ae9b-11ea2a679b4d,0.01,0.02,3.0,-0.11,0.01,0.26,0.5,2.97
0.93,1.05,-0.26,94.42,4.77,0.01,1.24,4.05,ae7841cc-75a8-4cc8-b5c3-15039d3114bd,0.0,0.04,5.48,-0.0,0.01,0.04,0.46,4.08
0.93,,,,,0.01,,,123480c3-83f0-4425-a2a3-acf90506c070,0.01,0.08,0.0,-0.01,0.01,0.16,,8.08
0.91,0.9,-0.86,96.17,4.14,0.01,1.09,3.44,c06316ca-ca99-4193-af5a-4c816483f82a,0.0,0.04,4.19,-0.0,0.01,0.05,0.35,4.96
0.76,0.83,-3.26,72.86,16.75,0.01,1.13,11.81,ce5bb8e4-a907-412b-99f0-13de96a637ee,0.01,0.12,13.76,-0.03,0.01,0.17,1.2,14.67
0.84,,,,,0.01,,,83f6859f-6dab-477d-b3d3-e40bcebec1d9,0.01,0.14,0.0,0.04,0.01,0.14,,11.79
0.96,0.93,-0.63,95.87,3.53,0.01,0.93,3.56,44775838-05aa-451f-a6f3-d30aa504a6b9,0.0,0.04,3.74,-0.0,0.01,0.04,0.31,4.09
0.89,0.87,-1.92,95.77,8.82,0.01,1.06,7.14,7003bf37-f413-4ec5-a0d0-d5d3d9344f5f,0.01,0.07,8.04,-0.02,0.01,0.1,0.68,8.38
0.9,0.89,-3.61,92.45,13.66,0.01,1.04,11.45,ad2de155-4938-4aab-829f-3e077c683900,0.01,0.14,12.3,-0.02,0.01,0.13,1.05,13.68
0.28,,,,,0.01,,,a5278ef2-ac3e-440f-94c1-a0af3be72a8a,0.0,0.11,0.0,0.01,0.01,0.06,,3.95
0.68,1.12,7.21,68.48,17.2,0.01,1.02,19.1,fc2cff95-0b47-4d6b-89ff-ceb4bb7958ff,0.02,0.18,19.96,0.06,0.01,0.18,1.65,18.72
0.03,,,,,0.01,,,25d934db-608d-4644-8c2f-9e9d73aace73,0.01,0.23,0.0,0.08,0.0,0.07,,9.49
0.93,0.64,0.97,96.05,15.43,0.01,0.96,9.48,f2f6824d-2203-4c4a-a65f-f088048267ed,0.01,0.08,9.55,-0.01,0.01,0.16,0.86,8.08
0.67,0.74,3.44,38.52,16.06,0.01,0.72,15.72,7116b6d5-79f0-4c13-b258-489eb646eb3e,0.01,0.13,11.72,0.01,0.01,0.18,1.03,13.3
0.87,,,,,0.01,,,14640c7f-1e8d-4ecb-86e9-b69023d7c666,0.01,0.1,0.0,0.01,0.01,0.05,,6.62
0.75,0.98,-0.26,91.42,2.18,0.01,0.74,2.95,305d8ea2-a64a-4700-a464-ae5681e8fdc5,0.0,0.05,2.61,0.01,0.01,0.03,0.22,4.56
0.88,,,,,0.01,,,9cafb5f5-a5db-455c-a678-c279efa0c321,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.82,0.31,-3.52,85.82,19.07,0.01,1.16,3.5,c6ea28ff-6a85-471d-8304-0ce0ad34b693,0.01,0.14,4.45,-0.02,0.01,0.16,0.52,15.7
0.93,0.97,-1.24,96.13,10.52,0.01,1.27,8.01,ccb6b001-5f29-4dc0-ab74-060cd21ececb,0.01,0.08,10.61,-0.01,0.01,0.11,0.89,11.09
0.78,0.61,1.12,83.68,16.53,0.01,0.96,9.45,faca6050-ec88-4731-bd28-f03087ee0e45,0.01,0.12,9.51,0.03,0.01,0.18,0.87,11.63
0.92,1.16,0.31,92.26,4.18,0.01,1.08,4.57,78f2afdf-7cca-446f-b2da-34b6c7d5aa04,0.0,0.04,5.36,-0.0,0.01,0.05,0.44,5.05
0.39,,,,,0.01,,,26ad6b06-702a-4fb5-bfcb-ad6762a94d47,0.0,0.04,0.0,0.01,0.0,0.02,,2.7
0.84,0.87,4.7,83.86,14.42,0.01,0.84,14.47,ae878d6c-f622-4a1b-a9c3-064989e37056,0.01,0.14,12.57,0.04,0.01,0.14,1.08,11.79
0.82,,,,,0.01,,,acf7eb51-424c-456a-a5c6-261dd789644c,0.01,0.08,0.0,-0.0,0.01,0.19,,8.92
0.8,-1.16,0.02,93.9,11.33,-0.01,-0.86,15.02,c7acfc4f-5eae-40d0-b761-eb9f04b601bc,-0.02,0.16,-12.53,-0.01,-0.02,0.24,-1.06,-24.99
0.46,0.89,5.72,46.99,18.79,0.01,0.93,17.51,53621295-8da2-497e-9363-15ecf4443ada,0.01,0.19,16.66,0.07,0.01,0.18,1.43,17.24
0.71,0.8,1.25,72.93,16.92,0.01,1.04,12.49,85f8688d-5a8b-469d-a96c-1b6f1c7609a5,0.01,0.13,13.42,0.02,0.01,0.16,1.17,13.14
0.73,0.88,-2.51,71.34,18.27,0.01,1.22,12.66,10557195-a0ec-419d-9637-92aef1d0c703,0.01,0.13,15.83,-0.02,0.01,0.18,1.37,16.24
0.75,0.92,7.02,83.74,18.68,0.01,1.08,15.32,7ab92be3-667d-4eb4-8fe6-3cff79cc1916,0.01,0.14,17.07,0.04,0.01,0.17,1.46,12.77
0.88,1.15,0.01,92.4,12.08,0.01,0.92,15.4,865f12bb-4e6d-4ef8-ad66-6bb9c8cad715,0.01,0.15,14.53,-0.01,0.01,0.14,1.2,15.94
0.44,0.49,0.7,55.92,14.34,0.01,0.68,9.1,0ddfbbcf-76b6-4969-bdd9-e5c591c42518,0.01,0.17,6.65,0.05,0.01,0.14,0.62,10.3
0.89,0.51,-5.62,73.09,12.84,0.01,1.35,4.4,d38b0e9f-61a7-40c9-866f-6b0b4c34a283,0.01,0.07,6.38,-0.02,0.01,0.1,0.59,8.38
0.17,0.96,4.33,15.86,8.57,0.01,1.2,6.88,bf0af348-f50b-489f-b9c0-dbc6a730d362,0.01,0.07,8.68,0.04,0.01,0.08,0.73,8.24
0.82,,,,,-0.0,,,17cc0e30-e24c-4fc0-85b6-39669300bf76,-0.0,-0.05,0.0,-0.02,0.01,0.15,,-3.06
0.94,1.2,0.18,97.42,13.03,0.01,1.01,15.65,8ad3c4f5-d677-4b0c-859d-a202c7dc3caa,0.01,0.14,16.31,-0.01,0.01,0.13,1.34,14.54
0.73,0.85,-2.69,68.51,18.74,0.01,1.22,12.45,7044bc67-bf42-4e2b-b9dd-6adc4127af40,0.01,0.13,15.68,-0.02,0.01,0.18,1.36,16.24
0.92,0.93,-1.28,92.34,9.1,0.01,1.08,7.78,da324a38-fbfa-4a66-addf-bfaf547d8b46,0.01,0.09,8.82,-0.0,0.01,0.09,0.74,9.98
0.75,1.54,1.91,71.16,3.32,0.01,0.99,5.32,3acd6b74-799d-40e8-9dbf-56bcca3c6fba,0.0,0.05,5.7,0.01,0.01,0.03,0.47,4.56
0.91,1.14,0.28,98.14,6.32,0.01,0.77,9.49,a4c65575-2669-4b6d-b4bf-02d8b27a737b,0.01,0.1,7.77,0.0,0.01,0.07,0.64,7.87
0.82,,,,,0.01,,,6d17914b-9336-42dc-8109-dd00a51ed9cd,0.01,0.08,0.0,-0.0,0.01,0.19,,8.92
0.85,0.98,-1.98,85.16,16.42,0.01,1.19,13.38,9c562a69-e61a-403d-97d7-5ed6dad3aa57,0.01,0.13,16.43,-0.03,0.01,0.15,1.39,14.51
0.75,,,,,0.01,,,0d276fca-b6ce-4c2e-852e-ad3e312dd587,0.01,0.14,0.0,0.04,0.01,0.17,,12.77
0.76,0.79,-3.8,68.65,18.38,0.01,1.2,11.34,0ca3bc80-6620-4a92-9145-44334714553c,0.01,0.12,14.06,-0.03,0.01,0.17,1.24,14.67
0.84,0.89,4.59,92.73,14.3,0.01,0.87,14.18,dfe57ece-f51a-4074-83b0-011b64871417,0.01,0.14,12.85,0.05,0.01,0.16,1.1,13.31
0.95,1.02,-0.34,97.55,3.57,0.01,0.95,3.89,3fa93a42-47ef-4c15-9dea-11450566dacd,0.0,0.04,4.13,-0.01,0.01,0.04,0.34,3.77
0.93,1.31,0.58,97.55,3.03,0.01,0.8,5.01,1845aef9-efb2-4888-b8f8-d91f9ed99db5,0.0,0.04,4.48,-0.0,0.01,0.04,0.37,4.08
0.13,,,,,0.01,,,943d694c-2178-49f7-a387-e759c017bcfb,0.0,0.21,0.0,0.01,0.0,0.01,,1.6
0.21,1.37,3.88,23.36,4.78,0.01,0.81,8.22,18cc742a-2927-45a6-abff-cc1402806ebe,0.01,-0.02,7.11,0.04,0.01,0.05,0.58,6.69
0.82,0.57,0.56,83.78,19.73,0.01,1.15,8.51,b35a03a6-cc50-4ed7-acaa-c9064abe94cf,0.01,0.08,10.2,-0.0,0.01,0.19,0.97,8.92
0.85,0.93,-2.96,88.32,15.0,0.01,1.11,12.31,f14b20e0-4750-4b13-81bd-a01ac36f2f03,0.01,0.12,14.12,-0.03,0.01,0.16,1.2,14.46
0.0,0.33,-23.71,58.07,40.43,0.0,2.43,2.23,e99d33b9-7323-4e1c-99b0-8e50963bcf35,0.0,0.0,5.85,0.0,0.0,0.0,1.14,0.0
0.73,1.04,0.48,71.82,16.16,0.01,1.08,15.62,41f2ad6d-f86d-4ee5-8fe7-81c95cfa6bef,0.01,0.13,17.28,-0.02,0.01,0.18,1.44,16.24
0.91,0.67,1.87,89.44,16.08,0.01,0.97,10.39,9b7683e3-f103-4393-89ed-3623ddfdc942,0.01,0.1,10.48,0.02,0.01,0.15,0.94,9.97
0.91,1.1,0.04,97.06,7.05,0.01,0.86,9.14,db6690d7-dced-4c56-8de2-71ed5c79575b,0.01,0.1,8.27,0.0,0.01,0.07,0.69,7.87
0.07,1.21,8.67,0.36,6.76,0.01,-0.14,-58.45,36131cb6-b08f-4108-8548-43fd2077ed81,0.0,0.14,8.76,0.04,0.0,0.04,0.72,4.99
0.97,0.94,-2.08,97.37,13.08,0.01,1.59,7.62,39bd7f1d-2ee9-4b23-af5f-8efc47288951,0.01,0.08,12.54,-0.02,0.02,0.12,1.06,12.09
0.9,0.92,-3.3,91.62,14.35,0.01,1.08,11.92,1350214c-2d58-4a16-ae2e-a084294b7d0d,0.01,0.14,13.36,-0.02,0.01,0.13,1.14,13.68
0.81,0.52,-1.76,79.02,3.46,0.01,1.08,1.63,a51f9039-e534-4597-800f-0910285e5241,0.0,0.03,2.21,-0.01,0.01,0.03,0.19,2.53
0.73,0.81,-4.08,74.54,18.02,0.01,1.23,11.3,63fc01ab-7d01-4e81-a817-e9a3f7314c92,0.01,0.11,14.31,-0.04,0.01,0.18,1.25,14.12
0.85,0.76,-5.61,87.58,15.59,0.01,1.15,9.8,26e265cb-0fdc-479a-a7ed-7f8a548f5f7b,0.01,0.12,11.73,-0.03,0.01,0.16,1.03,14.46
0.84,0.78,2.83,77.28,10.68,0.01,0.6,13.61,972b480a-afe7-4b9d-af24-6e653e9c7a73,0.01,0.14,8.57,0.04,0.01,0.14,0.74,11.79
0.82,1.13,0.57,83.07,15.14,0.01,1.09,15.9,32aa597b-31a3-4be2-a9f7-31f0fe20a7b2,0.01,0.14,17.73,-0.02,0.01,0.16,1.46,15.7
0.82,,,,,-0.0,,,d312e083-6597-4479-8388-483ac535ab6b,-0.0,-0.05,0.0,-0.02,0.01,0.15,,-3.06
0.93,,,,,0.01,,,cf85c001-9265-4293-a369-7ddb9bbb70d7,0.0,0.04,0.0,-0.0,0.01,0.04,,4.08
0.39,,,,,0.01,,,0735b202-9e1b-4acf-b436-87491da7fd6f,0.0,0.04,0.0,0.01,0.0,0.02,,2.7
0.94,1.04,-1.7,96.29,13.01,0.01,1.01,13.51,005331f9-ccfd-41b1-aec1-b2c3ca38e3b8,0.01,0.14,14.05,-0.01,0.01,0.13,1.17,14.54
0.81,1.27,1.75,85.02,7.18,0.01,0.82,11.37,b93b1e66-3dc2-4fd1-8712-258323dd3fb1,0.01,-0.14,9.72,0.01,0.0,0.05,0.8,6.24
0.91,0.83,4.11,84.79,14.07,0.01,0.82,13.81,418dc9fe-4c72-4dd9-8b20-ac2a55e31c42,0.01,0.1,11.8,0.02,0.01,0.15,1.02,9.97
0.76,,,,,0.01,,,6fdc07b7-dc2d-4627-9574-f09d98d9ee8c,0.01,0.12,0.0,-0.03,0.01,0.17,,14.67
0.93,0.91,-2.04,97.7,10.8,0.01,1.31,7.38,feda47e0-d27a-4068-be9c-ffd0a2b8f79a,0.01,0.08,10.15,-0.01,0.01,0.11,0.86,11.09
0.81,,,,,0.01,,,10b61152-1325-4440-a61a-f12eec95796a,0.01,-0.14,0.0,0.01,0.0,0.05,,6.24
0.88,1.07,-1.05,92.12,13.74,0.01,1.04,14.24,bb0f3d7e-897a-4144-a761-3c804b11f7c7,0.01,0.15,15.23,-0.01,0.01,0.14,1.27,15.94
0.97,,,,,0.01,,,ce52cba8-0337-4165-bcea-84bf41d9aed7,0.01,0.08,0.0,-0.02,0.01,0.12,,11.53
0.03,1.29,8.48,1.67,7.43,0.01,0.34,28.97,7bff1152-97d8-465e-8b91-82bd4c9e7462,0.01,0.23,10.22,0.08,0.0,0.07,0.84,9.49
0.82,0.94,-2.59,84.05,16.5,0.01,1.19,12.78,8b01632a-1309-4132-a697-a197d6ef3708,0.01,0.14,15.67,-0.02,0.01,0.16,1.33,15.7
0.94,1.17,-0.35,100.0,12.69,0.01,1.0,15.07,422758b4-eb17-42e5-a387-bc8d61e1a686,0.01,0.14,15.52,-0.01,0.01,0.13,1.28,14.54
0.84,,,,,0.01,,,62be389b-d9cd-441b-8278-c5fc9d5efbed,0.01,0.14,0.0,0.04,0.01,0.14,,11.79
0.75,,,,,0.01,,,066adaa2-f9b0-4853-8909-464fc97998a1,0.01,0.05,0.0,0.01,0.01,0.06,,7.43
0.94,1.2,0.07,98.64,12.81,0.01,1.0,15.54,a7a21a28-1034-4a5a-bd2f-4973146a8940,0.01,0.14,16.03,-0.01,0.01,0.13,1.31,14.54
0.95,0.94,-2.06,97.25,12.87,0.01,1.56,7.61,e3b23c76-1f53-4ce3-9a46-ca78f3d50ad2,0.01,0.08,12.33,-0.02,0.01,0.12,1.04,12.02
0.94,1.04,-1.77,96.3,13.01,0.01,1.01,13.44,23506971-eac7-4ec5-a0f3-d47a0dcd1517,0.01,0.14,13.97,-0.01,0.01,0.13,1.17,14.54
0.82,,,,,0.01,,,bb23c0df-f6e9-4c9a-8e8e-2ac8de7db5c5,0.01,0.08,0.0,-0.0,0.01,0.19,,8.92
0.75,1.44,1.86,65.86,3.7,0.01,1.06,5.13,f141a4c5-5af1-4b83-b2d3-79be7b1b5881,0.0,0.05,5.89,0.01,0.01,0.03,0.48,4.56
0.03,,,,,0.01,,,b66491d3-54e8-4ce6-a06c-5c057271c755,0.01,0.23,0.0,0.08,0.0,0.07,,9.49
0.73,,,,,0.01,,,4ba8295a-d44a-4e38-83ce-b2606d5a5eba,0.01,0.13,0.0,-0.02,0.01,0.18,,16.24
0.73,0.54,0.35,77.03,21.18,0.01,1.23,7.8,b4fc4e7a-5d42-4945-9f1f-efaa9965053c,0.01,0.11,9.95,-0.04,0.01,0.18,0.98,14.12
0.82,0.91,-2.82,83.68,15.0,0.01,1.08,12.32,4553f251-e8a4-4fa6-814c-6ddfd3a189f4,0.01,0.14,13.77,-0.02,0.01,0.16,1.17,15.7
0.94,1.0,5.86,84.38,12.68,0.01,0.74,17.12,42f177d2-42b7-4a1a-b627-84c23be5962e,0.01,0.08,13.12,-0.0,0.01,0.16,1.1,8.43
0.91,,,,,0.01,,,3ff5715c-d577-41b9-aced-203fa71e192d,0.01,0.1,0.0,0.02,0.01,0.15,,9.97
0.82,0.45,-1.52,79.63,20.22,0.01,1.14,6.45,6556802e-636e-45b4-ad9d-a79651affa4c,0.01,0.08,7.84,-0.0,0.01,0.19,0.8,8.92
0.58,,,,,0.01,,,8f57d05e-dbe6-48ae-bb9f-60298cd9f55f,0.01,0.05,0.0,0.02,0.01,0.04,,6.44
0.75,1.2,0.61,75.31,3.1,0.01,0.95,3.98,52d4e2e0-21cb-44dc-af81-2e7b0a292cbe,0.0,0.05,4.21,0.01,0.01,0.03,0.35,4.56
0.85,1.04,-1.11,86.44,14.32,0.01,1.05,14.12,942ec14b-5c19-4877-b061-bda00ce512a5,0.01,0.12,15.28,-0.03,0.01,0.16,1.28,14.46
0.95,,,,,0.01,,,88297a63-4512-4ee5-8bc6-22a4da3cac91,0.01,0.08,0.0,-0.02,0.01,0.12,,11.71
0.71,,,,,0.01,,,d3f2caed-5110-4006-8885-d23292133592,0.0,0.1,0.0,-0.02,0.0,0.06,,5.01
0.88,,,,,0.01,,,d890ca7b-2e49-4e26-b271-685bfcf2f042,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.9,0.92,-3.28,94.73,13.34,0.01,1.02,11.8,6388960a-67d3-4806-bd39-5be50bfc19ac,0.01,0.14,12.53,-0.02,0.01,0.13,1.06,13.68
0.94,1.05,-1.68,96.32,13.0,0.01,1.01,13.54,f9e88eb8-c21a-4286-bfb3-3a3559305f2c,0.01,0.14,14.07,-0.01,0.01,0.13,1.17,14.54
0.9,0.9,-2.99,85.49,14.37,0.01,1.05,12.09,39baa72d-ab29-4be5-801e-a9b93f7ec12f,0.01,0.14,13.12,-0.02,0.01,0.13,1.12,13.68
0.28,0.12,-3.04,20.44,7.51,0.01,1.19,0.51,b9002fe4-4b6e-48be-9e07-eeb9d54dfcc8,0.0,0.11,1.05,0.01,0.01,0.06,0.11,3.95
0.73,0.85,-3.55,77.82,17.36,0.01,1.21,11.8,941cfdf9-be0d-44a0-adb5-0bf0deba0075,0.01,0.11,14.69,-0.04,0.01,0.18,1.27,14.12
0.01,,,,,0.01,,,73c75d75-dd57-4387-8cee-ad176e7ef207,0.01,-0.19,0.0,0.07,-0.0,0.07,,6.15
0.96,1.04,-0.42,96.22,8.85,0.01,1.07,8.67,c1d428e8-3461-4cd3-9c24-0f23d292cdb4,0.01,0.09,9.71,-0.0,0.01,0.08,0.81,8.81
0.39,1.07,0.14,50.22,0.57,0.01,0.14,4.35,bfd98f90-2f42-49ac-b4d6-f9d09221d4f6,0.0,0.04,1.05,0.01,0.0,0.02,0.09,2.7
0.75,1.48,1.25,81.49,2.85,0.01,0.91,4.73,3ca74f20-11b6-4e08-8746-559b7d2dfac8,0.0,0.05,4.75,0.01,0.01,0.03,0.39,4.56
0.75,1.14,0.2,83.61,2.37,0.01,0.76,3.58,a0120225-af2f-4bfb-9cd3-8625988b92a1,0.0,0.05,3.18,0.01,0.01,0.03,0.26,4.56
0.56,0.17,-10.6,58.42,21.88,0.0,1.2,1.1,9e4ec9bb-96f5-4683-a23a-0a7bc50527f0,0.01,0.02,1.76,-0.11,0.01,0.26,0.34,2.97
0.65,0.46,-6.03,70.45,12.34,0.0,3.27,1.53,96f5fd72-f5f8-44dc-927b-2f4bd48e2d2b,0.0,0.01,,-0.05,0.03,0.12,0.5,
0.08,0.06,-2.13,12.54,35.85,0.0,0.76,-5.59,057eae0b-f486-45e7-ac3a-8bf33cc46ef2,0.0,-0.05,-3.88,-0.06,0.01,0.34,0.21,-2.95
0.88,0.73,1.21,93.74,15.87,0.01,1.02,10.64,dbb688eb-792d-489f-b613-817d7825293f,0.01,0.15,11.23,-0.01,0.01,0.14,1.0,15.94
0.94,0.96,-2.56,94.06,12.96,0.01,0.99,12.49,9663904b-db05-4ed7-8b2a-fe8245ea2ab3,0.01,0.14,12.82,-0.01,0.01,0.13,1.08,14.54
0.88,1.14,0.44,85.37,14.4,0.01,1.05,15.8,4c96430f-2f9d-4507-8f63-12c7bfaea912,0.01,0.15,17.02,-0.01,0.01,0.14,1.4,15.94
0.85,0.88,-3.44,86.17,14.97,0.01,1.1,11.74,60136ec3-66b4-4769-9f88-3c1f7f5fdf58,0.01,0.13,13.31,-0.03,0.01,0.15,1.14,14.51
0.82,,,,,0.01,,,591b8483-c3bc-48ab-b0af-784afefbdd40,0.01,0.08,0.0,-0.0,0.01,0.19,,8.92
0.75,1.41,1.69,65.5,3.52,0.01,1.0,5.05,73b96037-6c63-42b4-807b-4e5625744c9f,0.0,0.05,5.52,0.01,0.01,0.03,0.45,4.56
0.88,,,,,0.01,,,66b0b129-0ee9-4c78-b006-2957736858c7,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.03,,,,,0.01,,,babcc2fc-dee2-45ab-82e6-ff81056ec5b0,0.01,0.23,0.0,0.08,0.0,0.07,,9.49
0.95,,,,,0.01,,,d1e2a940-7378-4aff-bea0-0a8874f04b0d,0.01,0.08,0.0,-0.02,0.01,0.12,,12.02
0.76,0.96,-2.11,83.46,15.11,0.01,1.09,13.07,46e46291-7e05-44a7-83fd-db70d7e3df5a,0.01,0.12,14.68,-0.03,0.01,0.17,1.24,14.67
0.0,,,,,0.0,,,7d4f50c9-5bbd-44eb-ace6-d8900c541b12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0.9,1.11,-0.79,96.06,11.95,0.01,0.92,14.46,1fc58401-2c61-4ce1-9e23-88f183c41e4b,0.01,0.14,13.8,-0.02,0.01,0.13,1.14,13.68
0.76,,,,,0.01,,,9a55d5be-84c9-43d3-bb21-56982e8e2637,0.01,0.12,0.0,-0.03,0.01,0.17,,14.67
0.76,0.6,-6.72,67.62,17.6,0.01,1.14,8.36,69dc490b-e411-466d-888c-bcadda69d948,0.01,0.12,9.98,-0.03,0.01,0.17,0.92,14.67
0.75,0.93,-0.63,99.14,2.88,0.01,1.01,2.67,0d13bfff-1756-41e5-a6b4-b8fb054bb505,0.0,0.05,3.14,0.01,0.01,0.03,0.26,4.56
0.9,0.78,-5.36,93.16,14.18,0.01,1.08,9.81,f0432611-eeca-4c99-b2aa-b6ded66051f1,0.01,0.14,11.04,-0.02,0.01,0.13,0.96,13.68
0.92,1.01,-0.73,96.84,8.5,0.01,1.03,8.33,f679921f-88a1-4be3-866a-1d1a1f3af098,0.01,0.09,9.02,-0.0,0.01,0.09,0.75,9.98
0.39,0.28,-0.59,69.31,0.87,0.01,0.26,0.97,0043d451-39e9-4ff2-b39c-755a6d13ffd0,0.0,0.04,0.69,0.01,0.0,0.02,0.06,2.7
0.9,,,,,0.01,,,7b3dc829-e90d-4e64-b259-5e613176b122,0.01,0.14,0.0,-0.02,0.01,0.13,,13.68
0.75,1.25,0.35,95.57,2.89,0.01,1.0,3.68,5dd01ec6-4586-4853-bc32-02cf160a088f,0.0,0.05,4.11,0.01,0.01,0.03,0.34,4.56
0.91,0.9,5.76,78.6,15.09,0.01,0.85,15.69,cd0871ba-201e-461a-a081-97b42318c96c,0.01,0.1,13.78,0.02,0.01,0.15,1.18,9.97
0.73,,,,,0.01,,,b3d7903b-c913-4c0e-b03c-93ac1e19ef78,0.01,0.13,0.0,-0.02,0.01,0.18,,16.24
0.73,1.02,-0.77,79.77,14.04,0.01,0.99,14.35,6b1b3f6c-f096-4984-86ba-0b5cbc0a50b7,0.01,0.13,14.63,-0.02,0.01,0.18,1.23,16.24
0.93,,,,,0.01,,,ddb43081-947f-4fee-bfcf-d6ed9ed97c5a,0.0,0.04,0.0,-0.0,0.01,0.04,,4.08
0.93,0.65,1.1,94.92,14.94,0.01,0.92,9.7,b3aa7a87-ce87-4ce1-9ba1-9e56e8d8a2fe,0.01,0.08,9.41,-0.01,0.01,0.16,0.84,8.08
0.73,0.74,-6.01,77.58,18.73,0.01,1.3,9.84,5b8c0a8e-7127-4dbe-b882-f7922a16a688,0.01,0.11,13.24,-0.04,0.01,0.18,1.19,14.12
0.64,,,,,0.01,,,74f4762e-f1c6-498b-8dba-a89575a9d779,0.0,0.04,0.0,-0.0,0.0,0.01,,1.72
0.76,,,,,0.01,,,2c3effe7-fddf-4fbf-a5ab-ff3c49cf7d84,0.01,0.12,0.0,-0.03,0.01,0.17,,14.67
0.9,,,,,0.01,,,ee374deb-2212-4781-8786-8a39d87b64a8,0.01,0.14,0.0,-0.02,0.01,0.13,,13.68
0.84,0.81,3.18,87.58,12.51,0.01,0.74,13.13,c5c5f4dc-96c3-401e-959b-eb71bed84ea2,0.01,0.14,10.21,0.04,0.01,0.14,0.88,11.79
0.07,,,,,0.01,,,ea02c1b5-2a22-4ae2-a25b-ad9fc59f9f4e,0.0,0.14,0.0,0.04,0.0,0.04,,4.99
0.75,,,,,0.01,,,1475cf0c-6d0e-4c2a-a725-4506ab7b63ea,0.01,0.05,0.0,0.01,0.01,0.06,,7.43
0.46,0.84,4.88,46.99,18.79,0.01,0.92,16.47,aa8d2099-5c67-4c1d-8121-9eb1f8880084,0.01,0.19,15.69,0.07,0.01,0.18,1.36,17.24
0.88,0.88,5.27,89.08,16.48,0.01,0.99,14.14,b8d00d01-d39d-4b23-a6aa-d4a59d47adcd,0.01,0.12,14.42,0.03,0.01,0.16,1.24,11.52
0.92,1.21,1.17,93.25,8.62,0.01,1.02,10.33,5268d684-a56e-4253-b6d0-162373351c5a,0.01,0.09,11.03,-0.0,0.01,0.09,0.91,9.98
0.88,,,,,0.01,,,9e6ec6f0-a894-4ba7-819c-9164d7bab891,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.94,1.17,-0.35,99.22,13.18,0.01,1.04,15.08,212add2a-2084-4559-a2c7-23a48f2935f9,0.01,0.14,16.06,-0.01,0.01,0.13,1.32,14.54
0.88,1.1,-0.85,93.25,14.56,0.01,1.11,14.53,00a4c861-27d2-4462-9ce5-b6ba6bb17a76,0.01,0.15,16.55,-0.01,0.01,0.14,1.37,15.94
0.39,1.56,0.79,53.48,1.08,0.01,0.28,6.14,7a99eeed-718a-4f7b-b97f-81ba3292a598,0.0,0.04,2.18,0.01,0.0,0.02,0.18,2.7
0.73,0.75,-3.67,78.21,17.44,0.01,1.15,10.63,ec9c55b3-e29f-4994-8df0-d937a576c63c,0.01,0.11,12.62,-0.04,0.01,0.18,1.12,14.12
0.03,1.25,7.79,2.15,7.19,0.01,0.37,24.75,45056764-81ce-4fa3-8f98-bd7d5a4a2eac,0.01,0.23,9.6,0.08,0.0,0.07,0.79,9.49
0.94,0.53,-0.59,94.15,15.23,0.01,0.94,7.7,e79c7f4e-aa38-4c02-a2ca-c9d8cacbd6a0,0.01,0.08,7.67,-0.0,0.01,0.16,0.71,8.43
0.75,,,,,0.01,,,c86f3189-3e9d-4fcf-b4e6-6532e4d7890d,0.01,0.14,0.0,0.04,0.01,0.17,,12.77
0.73,0.94,0.02,62.05,18.78,0.01,1.16,14.84,22f369f3-5516-4245-ad3b-3efd94ed636d,0.01,0.13,17.74,-0.02,0.01,0.18,1.52,16.24
0.85,,,,,0.01,,,b600864c-b9e7-4a41-b9c2-1d4636547d15,0.01,0.12,0.0,-0.03,0.01,0.16,,14.46
0.48,1.17,8.54,49.8,15.08,0.01,0.76,23.37,087f441d-5882-4ff9-815e-f18fad0f7138,0.01,0.21,18.32,0.07,0.01,0.16,1.51,17.07
