category_r_squared_5years,5yrs_sharpe_ratio_fund,5_years_alpha_fund,5years_fund_r_squared,5years_fund_std,5yrs_sharpe_ratio_category,5_years_beta_fund,5yrs_treynor_ratio_fund,5_years_return_mean_annual_fund,5_years_return_mean_annual_category,5yrs_treynor_ratio_category,5_years_return_fund,5_years_alpha_category,5_years_beta_category,5years_category_std,tag,5_years_return_category
0.75,-0.98,-1.59,100.0,22.32,-0.01,-1.99,11.04,-1.76,-0.01,0.12,-21.22,-0.01,-0.02,0.22,70919,-17.0
0.01,0.81,2.66,0.59,3.06,0.01,-0.08,-30.39,0.28,0.0,-0.1,3.3,0.02,-0.0,0.03,76958,2.84
0.78,1.03,12.27,66.61,14.16,0.0,0.96,15.21,1.29,0.01,0.06,15.43,0.04,0.01,0.11,164330,5.89
0.89,0.74,0.67,84.68,6.91,0.01,0.96,5.3,0.5,0.0,0.04,5.87,-0.01,0.01,0.08,249443,5.12
0.52,0.74,0.17,60.32,0.81,0.01,0.21,2.75,0.12,0.0,0.03,1.39,0.0,0.0,0.01,224729,1.45
0.84,0.6,-0.08,85.99,2.7,0.01,0.87,1.85,0.2,0.0,0.02,2.42,0.0,0.01,0.03,169190,2.51
0.0,-0.06,-18.29,66.06,22.81,0.0,1.66,-2.37,-0.05,0.0,0.0,-3.12,0.0,0.0,0.0,240551,0.0
0.94,0.85,-0.33,98.7,2.9,0.01,0.96,2.58,0.27,0.0,0.02,3.27,-0.01,0.01,0.03,242261,2.88
0.89,0.67,0.0,90.15,8.88,0.01,1.27,4.53,0.56,0.0,0.04,6.54,-0.01,0.01,0.08,200924,5.12
0.69,0.52,5.24,71.5,15.1,0.0,1.06,6.56,0.72,0.01,0.05,7.77,0.03,0.01,0.14,126332,5.56
0.86,0.91,1.56,77.94,14.87,0.01,1.17,11.31,1.2,0.01,0.1,14.07,-0.0,0.01,0.13,110231,11.26
0.78,0.7,5.66,73.43,10.7,0.0,0.76,9.49,0.69,0.01,0.06,8.04,0.04,0.01,0.11,68750,5.89
0.65,0.68,-0.82,63.96,17.54,0.01,1.25,8.82,1.06,0.01,0.06,11.84,-0.03,0.01,0.17,61172,8.45
0.86,0.34,-6.62,75.9,14.67,0.01,1.14,3.61,0.49,0.01,0.07,4.93,-0.03,0.01,0.11,127331,7.2
0.15,0.52,1.91,14.32,7.35,0.0,0.97,3.73,0.38,0.0,0.05,4.43,0.01,0.01,0.07,184823,3.37
0.88,0.65,-0.42,97.51,8.98,0.01,1.33,4.21,0.55,0.0,0.03,6.42,-0.01,0.01,0.09,132236,5.32
0.95,0.64,-0.49,97.46,9.42,0.01,1.4,4.16,0.57,0.01,0.04,6.62,-0.01,0.01,0.09,133883,6.18
0.78,0.48,-4.17,75.43,13.49,0.01,1.05,5.54,0.61,0.01,0.07,6.6,-0.03,0.01,0.14,50165,8.99
0.86,0.72,-1.82,87.99,12.84,0.01,1.08,8.14,0.83,0.01,0.1,9.56,-0.0,0.01,0.13,200042,11.26
0.92,0.79,-0.48,92.71,3.4,0.01,1.09,2.47,0.29,0.0,0.03,3.49,-0.0,0.01,0.03,94247,3.16
0.89,0.43,-1.58,95.43,6.02,0.01,0.88,2.75,0.28,0.0,0.04,3.23,-0.01,0.01,0.06,240911,3.69
0.81,0.3,1.38,80.28,11.72,0.0,0.88,3.32,0.36,0.0,0.01,3.71,-0.01,0.01,0.13,29906,1.59
0.86,1.02,1.67,94.31,12.27,0.01,1.06,11.8,1.11,0.01,0.1,13.36,-0.0,0.01,0.13,236555,11.26
0.91,0.58,-1.01,93.14,2.86,0.01,0.91,1.79,0.2,0.0,0.03,2.44,0.0,0.01,0.03,218204,3.52
0.86,0.64,-2.56,93.17,10.76,0.01,0.93,7.1,0.64,0.01,0.07,7.4,-0.03,0.01,0.11,82367,7.2
0.93,0.77,-1.48,97.38,11.7,0.01,1.03,8.5,0.82,0.01,0.08,9.58,-0.02,0.01,0.12,127610,8.91
0.84,0.57,-0.12,81.4,2.74,0.01,0.87,1.79,0.2,0.0,0.02,2.35,0.0,0.01,0.03,130040,2.51
0.86,0.77,-1.12,89.38,12.15,0.01,1.03,8.82,0.85,0.01,0.1,9.86,-0.0,0.01,0.13,134306,11.26
0.93,0.78,-1.41,98.0,11.5,0.01,1.02,8.57,0.82,0.01,0.08,9.52,-0.02,0.01,0.12,233414,8.91
0.17,,,,,0.01,,,,0.0,0.07,0.0,0.03,0.01,0.05,179063,4.48
0.88,0.62,-0.38,87.97,9.57,0.01,1.35,4.21,0.56,0.0,0.03,6.47,-0.01,0.01,0.09,248273,5.32
0.86,0.69,-1.6,77.76,13.47,0.01,1.06,8.22,0.84,0.01,0.1,9.53,-0.0,0.01,0.13,196442,11.26
0.93,,,,,0.01,,,,0.01,0.08,0.0,-0.02,0.01,0.12,218321,8.91
0.56,0.47,0.97,47.57,10.22,0.0,0.64,6.99,0.47,0.0,0.07,5.25,0.01,0.01,0.11,128339,5.35
0.89,0.43,-1.61,86.54,7.3,0.01,1.02,2.91,0.33,0.0,0.04,3.77,-0.01,0.01,0.08,160379,5.12
0.73,,,,,0.0,,,,0.0,0.04,0.0,0.02,0.01,0.13,175751,4.23
0.78,0.67,-1.73,75.87,14.32,0.01,1.11,8.11,0.87,0.01,0.07,9.83,-0.03,0.01,0.14,45287,8.99
0.65,0.35,-6.58,68.07,16.14,0.0,1.19,3.7,0.53,0.01,0.04,5.21,-0.06,0.01,0.15,214271,5.62
0.64,0.5,3.8,76.57,11.86,0.0,0.86,6.23,0.56,0.0,0.05,6.19,0.03,0.01,0.13,102941,4.93
0.03,0.44,2.21,0.93,5.92,0.01,0.2,12.36,0.28,0.0,0.11,3.27,0.02,0.0,0.05,191285,3.45
0.95,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.08,159992,5.56
0.83,0.42,2.55,87.41,11.29,0.0,0.88,4.75,0.46,0.0,0.03,4.98,0.01,0.01,0.12,155258,3.86
0.64,0.81,5.48,73.75,16.19,0.01,1.26,10.01,1.16,0.01,0.12,13.37,0.08,0.01,0.16,213668,15.26
0.03,0.17,0.4,1.8,5.1,0.01,0.24,3.11,0.14,0.0,0.11,1.54,0.02,0.0,0.05,46376,3.45
0.86,0.46,-5.91,88.43,14.81,0.01,1.24,4.74,0.63,0.01,0.1,6.7,-0.0,0.01,0.13,143648,11.26
0.14,1.7,0.62,13.06,0.48,0.01,0.05,13.58,0.13,0.0,0.05,1.53,0.0,0.0,0.01,237257,1.18
0.64,1.02,8.22,72.42,15.0,0.01,1.15,13.16,1.34,0.01,0.12,15.98,0.08,0.01,0.16,164969,15.26
0.84,0.79,0.41,86.55,2.58,0.01,0.84,2.43,0.24,0.0,0.02,2.85,0.0,0.01,0.03,201356,2.51
0.86,0.85,-0.32,92.4,10.18,0.01,0.88,9.68,0.78,0.01,0.07,9.27,-0.03,0.01,0.11,242891,7.2
0.86,0.57,-3.55,89.89,11.77,0.01,0.99,6.29,0.62,0.01,0.07,6.96,-0.03,0.01,0.11,148157,7.2
0.81,0.78,0.65,81.42,3.64,0.01,0.92,3.09,0.26,0.0,0.04,3.15,0.01,0.01,0.04,240488,5.26
0.93,0.79,0.5,93.06,4.39,0.01,0.64,5.45,0.36,0.0,0.05,4.27,0.0,0.01,0.05,82880,4.16
0.28,0.57,4.33,24.27,14.22,0.01,0.63,11.82,0.75,0.01,0.12,8.29,0.04,0.01,0.14,60497,8.29
0.03,0.84,2.22,2.89,3.08,0.01,0.18,14.12,0.28,0.0,0.11,3.39,0.02,0.0,0.05,33992,3.45
0.12,0.27,0.6,3.44,4.01,0.01,0.26,3.96,0.16,0.0,-0.13,1.85,0.01,-0.0,0.03,49769,2.04
0.96,0.61,-0.75,94.05,10.83,0.01,1.58,3.98,0.62,0.01,0.04,7.09,-0.01,0.01,0.1,238643,6.49
0.04,,,,,0.0,,,,0.0,-0.09,0.0,-0.0,-0.0,0.05,121391,0.22
0.53,0.25,-2.27,63.74,12.21,0.0,0.88,2.71,0.32,0.01,0.07,3.19,0.01,0.01,0.12,164069,6.08
0.96,0.57,-1.18,96.12,9.78,0.01,1.44,3.65,0.53,0.01,0.04,6.06,-0.01,0.01,0.1,142352,6.49
0.52,0.17,-1.18,61.53,3.23,0.0,0.88,0.57,0.11,0.0,0.01,1.3,-0.01,0.01,0.04,233063,1.43
0.78,0.76,6.43,83.55,11.27,0.0,0.86,9.63,0.78,0.01,0.06,9.06,0.04,0.01,0.11,35990,5.89
0.86,0.71,-0.55,66.28,16.87,0.01,1.22,9.11,1.06,0.01,0.1,11.97,-0.0,0.01,0.13,46088,11.26
0.89,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.06,157292,3.69
0.85,0.76,0.27,80.23,1.81,0.0,0.57,2.43,0.18,0.0,0.01,2.18,-0.0,0.01,0.02,142190,1.86
0.64,1.01,10.66,61.28,18.5,0.01,1.31,14.11,1.62,0.01,0.12,19.24,0.08,0.01,0.16,230471,15.26
0.84,,,,,0.01,,,,0.0,0.02,0.0,0.0,0.01,0.03,126998,2.51
0.32,0.01,-1.78,33.31,4.88,0.0,0.98,-0.09,0.03,0.0,0.0,0.2,-0.01,0.01,0.05,197801,1.1
0.84,0.42,-1.7,86.4,7.09,0.0,0.99,2.78,0.31,0.0,0.02,3.55,-0.03,0.01,0.08,206729,3.01
0.78,-0.12,-2.86,79.24,22.34,0.01,1.13,-4.6,-0.02,0.01,0.07,4.42,-0.03,0.01,0.14,152441,3.37
0.01,0.79,2.49,0.64,2.93,0.01,-0.08,-28.42,0.26,0.0,-0.1,3.13,0.02,-0.0,0.03,167291,2.84
0.86,0.16,-8.34,71.08,13.72,0.01,1.03,1.23,0.25,0.01,0.1,2.07,-0.0,0.01,0.13,231749,11.26
0.86,,,,,0.01,,,,0.01,0.1,0.0,-0.0,0.01,0.13,89081,11.26
0.84,0.82,0.36,89.22,2.08,0.01,0.69,2.48,0.21,0.0,0.02,2.51,0.0,0.01,0.03,93023,2.51
0.94,1.05,0.41,92.71,3.4,0.01,1.09,3.32,0.37,0.0,0.02,4.43,-0.0,0.01,0.03,74960,2.99
0.78,0.43,2.53,80.02,10.32,0.0,0.77,5.19,0.44,0.01,0.06,4.79,0.04,0.01,0.11,187577,5.89
0.32,-0.22,-3.34,41.23,5.08,0.0,1.14,-1.11,-0.03,0.0,0.0,-0.46,-0.01,0.01,0.05,154484,1.1
0.95,0.67,-0.14,95.43,9.57,0.01,1.4,4.42,0.6,0.01,0.04,7.01,-0.01,0.01,0.1,53117,6.41
0.65,0.73,0.81,55.26,16.25,0.01,1.08,10.32,1.05,0.01,0.06,11.93,-0.03,0.01,0.17,52757,8.45
0.86,0.97,1.51,89.02,13.74,0.01,1.16,11.43,1.18,0.01,0.1,14.06,-0.0,0.01,0.13,89414,11.26
0.55,,,,,0.0,,,,0.0,0.02,0.0,-0.03,0.01,0.09,59885,2.75
0.16,0.5,1.04,53.55,10.75,0.01,0.71,6.94,0.51,0.01,0.25,5.73,0.06,0.0,0.12,160100,8.87
0.47,0.03,-0.26,2.4,3.18,0.0,0.08,0.57,0.07,0.0,0.02,0.85,-0.01,0.0,0.05,101357,1.36
0.62,0.25,-2.46,63.03,13.01,0.01,0.93,2.6,0.33,0.01,0.07,3.23,0.01,0.01,0.14,116495,7.58
0.89,0.76,0.62,90.89,7.11,0.01,1.02,5.21,0.52,0.0,0.04,6.11,-0.01,0.01,0.08,52550,5.12
0.89,0.14,-0.65,94.98,11.84,0.0,0.96,1.07,0.21,0.0,-0.0,1.83,-0.02,0.01,0.12,218663,0.62
0.86,0.48,-1.56,85.88,10.36,0.0,3.36,1.36,0.48,0.0,0.01,5.39,-0.02,0.03,0.1,89360,5.34
0.65,0.52,-3.19,55.52,19.71,0.01,1.31,6.61,0.92,0.01,0.06,9.46,-0.03,0.01,0.17,145403,8.45
0.86,0.85,-0.11,88.23,12.5,0.01,1.05,9.89,0.95,0.01,0.1,11.17,-0.0,0.01,0.13,221147,11.26
0.68,0.51,-1.32,95.05,7.29,0.0,1.07,3.29,0.37,0.0,0.03,4.32,-0.02,0.01,0.08,102833,3.06
0.86,0.69,-2.07,92.05,11.31,0.01,0.97,7.74,0.72,0.01,0.07,8.31,-0.03,0.01,0.11,152819,7.2
0.52,0.93,0.7,3.17,0.8,0.01,0.05,15.09,0.13,0.0,0.03,1.62,0.0,0.0,0.01,100196,1.45
0.4,-0.53,-19.99,40.39,22.8,-0.0,1.31,-10.52,-0.94,-0.01,-0.08,-12.98,-0.18,0.01,0.26,44225,-11.01
0.93,0.83,-0.85,98.74,11.08,0.01,0.98,9.16,0.83,0.01,0.08,9.82,-0.02,0.01,0.12,222200,8.91
0.78,0.73,-1.47,84.24,14.07,0.01,1.15,8.51,0.93,0.01,0.07,10.61,-0.03,0.01,0.14,109637,8.99
0.97,,,,,0.01,,,,0.01,0.07,0.0,0.0,0.01,0.09,126053,9.53
0.95,0.51,-1.56,96.74,8.7,0.01,1.28,3.27,0.44,0.0,0.04,5.0,-0.01,0.01,0.08,163151,5.56
0.12,0.27,2.68,15.01,5.01,0.01,-0.68,-1.86,0.18,0.0,-0.13,2.06,0.01,-0.0,0.03,184283,2.04
0.6,0.36,-4.9,60.62,14.16,0.0,0.99,4.36,0.5,0.0,0.03,5.11,-0.07,0.01,0.16,227897,3.94
0.78,0.56,4.43,81.32,11.87,0.0,0.89,6.87,0.62,0.01,0.06,6.92,0.04,0.01,0.11,137942,5.89
0.64,0.92,6.94,68.32,14.95,0.01,1.12,12.07,1.21,0.01,0.12,14.28,0.08,0.01,0.16,139211,15.26
0.79,0.34,-6.81,86.37,13.52,0.0,1.12,3.43,0.46,0.01,0.05,4.66,-0.05,0.01,0.13,94751,5.87
0.03,,,,,0.01,,,,0.0,0.11,0.0,0.02,0.0,0.05,210257,3.45
0.86,0.89,0.13,93.64,11.79,0.01,1.02,10.2,0.95,0.01,0.1,11.2,-0.0,0.01,0.13,121238,11.26
0.96,0.67,-0.14,96.0,7.04,0.01,1.04,4.44,0.46,0.0,0.04,5.4,-0.0,0.01,0.07,46124,5.09
0.86,0.72,-1.72,87.52,12.9,0.01,1.08,8.23,0.84,0.01,0.1,9.67,-0.0,0.01,0.13,97532,11.26
0.94,0.55,-1.05,98.09,6.97,0.01,1.04,3.53,0.39,0.0,0.04,4.47,-0.0,0.01,0.06,132002,4.58
0.71,0.4,3.14,78.38,14.05,0.0,1.04,4.68,0.54,0.0,0.02,5.64,0.0,0.01,0.15,95912,2.61
0.79,0.3,-7.73,81.36,14.92,0.0,1.2,2.93,0.45,0.01,0.05,4.33,-0.05,0.01,0.13,172142,5.87
0.65,,,,,0.0,,,,0.01,0.04,0.0,-0.06,0.01,0.15,203039,5.62
0.86,0.76,-0.58,81.51,9.36,0.01,0.76,9.22,0.66,0.01,0.07,7.77,-0.03,0.01,0.11,75419,7.2
0.65,0.49,-4.94,70.98,17.62,0.01,1.32,5.53,0.78,0.01,0.06,8.13,-0.03,0.01,0.17,113804,8.45
0.8,0.34,-6.0,83.6,12.12,0.0,0.99,3.5,0.41,0.01,0.05,4.27,-0.04,0.01,0.13,251099,6.34
0.86,0.88,0.76,81.9,13.83,0.01,1.12,10.67,1.08,0.01,0.1,12.72,-0.0,0.01,0.13,157841,11.26
0.94,1.03,0.23,94.51,2.58,0.01,0.84,3.22,0.29,0.0,0.02,3.49,-0.0,0.01,0.03,152216,2.99
0.89,0.69,-0.02,96.13,7.45,0.01,1.1,4.56,0.49,0.0,0.04,5.81,-0.01,0.01,0.08,237941,5.12
0.86,0.96,1.51,84.01,12.45,0.01,1.02,11.61,1.06,0.01,0.1,12.63,-0.0,0.01,0.13,251675,11.26
0.8,,,,,0.0,,,,0.01,0.05,0.0,-0.04,0.01,0.13,67814,6.34
0.81,1.25,1.23,87.66,3.55,0.01,1.11,4.08,0.44,0.0,0.04,5.32,0.01,0.01,0.04,27080,5.26
0.94,0.72,-0.59,98.54,2.47,0.01,0.81,2.18,0.22,0.0,0.02,2.58,-0.0,0.01,0.03,96047,2.99
0.64,0.53,4.41,64.58,11.89,0.0,0.8,7.35,0.6,0.0,0.05,6.65,0.03,0.01,0.13,251324,4.93
0.89,0.49,-1.3,84.67,7.98,0.01,1.1,3.31,0.39,0.0,0.04,4.46,-0.01,0.01,0.08,52361,5.12
0.15,0.56,1.79,12.27,5.64,0.0,0.69,4.4,0.33,0.0,0.05,3.84,0.01,0.01,0.07,64592,3.37
0.86,0.65,-1.38,70.68,12.24,0.01,0.92,8.24,0.73,0.01,0.07,8.38,-0.03,0.01,0.11,172988,7.2
0.9,,,,,0.0,,,,0.0,0.01,0.0,-0.0,0.01,0.12,141281,2.1
0.03,0.57,2.35,4.12,5.39,0.01,0.38,7.88,0.32,0.0,0.11,3.82,0.02,0.0,0.05,83951,3.45
0.89,0.47,-1.46,87.28,7.78,0.01,1.09,3.15,0.37,0.0,0.04,4.24,-0.01,0.01,0.08,119501,5.12
0.96,0.58,-1.06,96.29,9.18,0.01,1.35,3.71,0.51,0.01,0.04,5.82,-0.01,0.01,0.09,175526,5.95
0.94,,,,,0.01,,,,0.0,0.02,0.0,-0.0,0.01,0.03,78452,2.99
0.78,0.62,-2.59,74.67,15.62,0.01,1.2,7.39,0.88,0.01,0.07,9.71,-0.03,0.01,0.14,249947,8.99
0.66,0.11,-1.07,35.35,2.32,0.0,0.46,0.52,0.09,0.0,0.04,1.04,-0.01,0.0,0.01,239615,1.14
0.47,-0.02,-2.54,68.26,4.22,0.0,0.52,-0.33,0.06,0.0,0.02,0.63,-0.01,0.0,0.05,104300,1.36
0.88,-0.24,-10.57,63.24,13.18,0.01,1.58,-2.53,-0.2,0.0,0.03,-3.19,-0.01,0.01,0.09,200636,5.32
0.84,0.82,0.46,90.48,2.74,0.01,0.91,2.45,0.25,0.0,0.02,3.05,0.0,0.01,0.03,116252,2.51
0.71,0.28,1.56,73.36,15.47,0.0,1.1,2.87,0.42,0.0,0.02,3.96,0.0,0.01,0.15,117863,2.61
0.95,0.62,-0.54,95.86,7.98,0.01,1.17,4.08,0.48,0.0,0.04,5.59,-0.01,0.01,0.08,46133,5.56
0.86,0.88,0.15,89.86,12.87,0.01,1.09,10.15,1.01,0.01,0.1,11.87,-0.0,0.01,0.13,240866,11.26
0.66,0.02,-0.53,63.26,0.74,0.0,0.19,0.05,0.07,0.0,0.04,0.81,-0.01,0.0,0.01,198566,1.14
0.8,0.55,-3.78,79.11,14.32,0.0,1.14,6.24,0.72,0.01,0.05,7.9,-0.04,0.01,0.13,242945,6.34
0.53,0.47,0.44,61.36,11.5,0.0,0.81,5.99,0.51,0.01,0.07,5.67,0.01,0.01,0.12,122174,6.08
0.64,1.02,11.34,53.01,18.37,0.01,1.21,15.34,1.62,0.01,0.12,19.37,0.08,0.01,0.16,82187,15.26
0.71,-0.29,-6.16,63.98,13.51,0.0,0.9,-5.33,-0.26,0.0,0.02,-3.99,0.0,0.01,0.15,105029,2.61
0.78,0.62,-2.9,79.92,14.95,0.01,1.19,7.18,0.84,0.01,0.07,9.38,-0.03,0.01,0.14,209105,8.99
0.84,-0.08,-6.54,76.95,9.45,0.0,1.24,-0.94,0.01,0.0,0.02,-0.36,-0.03,0.01,0.08,248516,3.01
0.66,0.44,-0.25,67.78,0.74,0.0,0.19,1.61,0.09,0.0,0.04,1.11,-0.01,0.0,0.01,198602,1.14
0.86,0.32,-6.55,90.42,11.97,0.01,1.02,3.14,0.39,0.01,0.07,4.0,-0.03,0.01,0.11,185048,7.2
0.4,,,,,-0.0,,,,-0.01,-0.08,0.0,-0.18,0.01,0.26,72728,-11.01
0.71,-0.17,-3.51,70.19,10.22,0.0,0.71,-3.2,-0.08,0.0,0.02,-1.48,0.0,0.01,0.15,34712,2.61
0.93,0.73,-1.91,97.06,11.59,0.01,1.02,8.03,0.78,0.01,0.08,9.0,-0.02,0.01,0.12,34739,8.91
0.95,0.66,-0.22,95.88,8.0,0.01,1.18,4.37,0.51,0.0,0.04,5.94,-0.01,0.01,0.08,52964,5.56
0.65,,,,,0.01,,,,0.01,0.06,0.0,-0.03,0.01,0.17,216386,8.45
,,,,,,,,,,,2.34,,,,190403,1.36
0.79,0.42,-5.24,84.12,12.42,0.0,1.02,4.46,0.5,0.01,0.05,5.35,-0.05,0.01,0.13,89072,5.87
0.65,0.43,-5.29,87.11,12.47,0.0,1.04,4.52,0.51,0.01,0.04,5.52,-0.06,0.01,0.15,28907,5.62
0.86,0.86,0.1,87.42,13.46,0.01,1.12,10.07,1.03,0.01,0.1,12.13,-0.0,0.01,0.13,224549,11.26
0.86,0.6,-2.94,92.09,10.82,0.01,0.93,6.65,0.61,0.01,0.07,6.98,-0.03,0.01,0.11,82358,7.2
0.96,,,,,0.01,,,,0.01,0.04,0.0,-0.01,0.01,0.1,253034,6.49
0.78,-0.15,-4.32,73.0,13.42,0.0,0.96,-2.99,-0.1,0.01,0.06,-2.05,0.04,0.01,0.11,116540,5.89
0.95,0.63,-0.68,96.98,10.02,0.01,1.48,4.03,0.59,0.01,0.04,6.78,-0.01,0.01,0.1,246977,6.41
0.51,,,,,-0.0,,,,-0.0,-0.04,0.0,-0.11,0.01,0.2,214910,-4.25
0.86,0.8,-0.77,93.16,9.36,0.01,0.81,9.09,0.69,0.01,0.07,8.14,-0.03,0.01,0.11,34757,7.2
0.78,0.68,-1.83,81.55,12.95,0.01,1.04,8.02,0.8,0.01,0.07,9.17,-0.03,0.01,0.14,144602,8.99
0.95,0.8,0.89,96.0,7.99,0.01,1.18,5.37,0.6,0.0,0.04,7.12,-0.01,0.01,0.08,206441,5.56
0.65,0.44,-5.17,71.53,15.32,0.0,1.16,4.91,0.62,0.01,0.04,6.5,-0.06,0.01,0.15,123272,5.62
0.84,0.08,-3.45,73.41,6.63,0.0,0.86,0.41,0.11,0.0,0.02,1.16,-0.03,0.01,0.08,100826,3.01
0.12,3.22,4.32,2.88,1.24,0.01,-0.08,-55.5,0.41,0.0,-0.13,5.07,0.01,-0.0,0.03,218105,2.04
0.65,0.41,-6.19,71.4,17.2,0.0,1.3,4.46,0.66,0.01,0.04,6.6,-0.06,0.01,0.15,182924,5.62
0.86,0.51,-4.09,92.0,11.2,0.01,0.96,5.48,0.54,0.01,0.07,6.07,-0.03,0.01,0.11,153107,7.2
0.9,0.18,-0.2,94.99,11.37,0.0,0.92,1.57,0.24,0.0,0.01,2.25,-0.0,0.01,0.12,172790,2.1
0.03,0.2,1.06,0.07,5.89,0.01,0.06,18.34,0.16,0.0,0.11,1.81,0.02,0.0,0.05,82061,3.45
0.9,0.03,-1.83,94.4,10.86,0.0,0.88,-0.3,0.09,0.0,0.01,0.53,-0.0,0.01,0.12,207854,2.1
0.85,0.53,-0.27,91.82,2.21,0.0,0.74,1.57,0.17,0.0,0.01,1.97,-0.0,0.01,0.02,60299,1.86
0.4,-0.48,-22.16,35.61,27.34,-0.0,1.47,-10.7,-1.03,-0.01,-0.08,-14.97,-0.18,0.01,0.26,224207,-11.01
0.65,0.34,-6.95,69.57,16.51,0.0,1.23,3.56,0.54,0.01,0.04,5.19,-0.06,0.01,0.15,105839,5.62
0.86,0.83,-0.4,89.18,11.25,0.01,0.95,9.58,0.84,0.01,0.1,9.89,-0.0,0.01,0.13,55556,11.26
0.94,,,,,0.01,,,,0.0,0.03,0.0,-0.0,0.01,0.03,209906,3.88
0.9,,,,,0.0,,,,0.0,0.01,0.0,-0.0,0.01,0.12,49310,2.1
0.95,0.72,0.18,97.1,8.7,0.01,1.29,4.7,0.59,0.0,0.04,6.85,-0.01,0.01,0.08,236969,5.56
0.69,0.24,0.68,74.26,10.48,0.0,0.75,2.68,0.28,0.01,0.05,2.81,0.03,0.01,0.14,149021,5.56
0.86,0.93,1.9,77.91,14.9,0.01,1.17,11.64,1.22,0.01,0.1,14.47,-0.0,0.01,0.13,107792,11.26
0.66,0.6,-0.55,92.22,1.66,0.0,0.53,1.88,0.15,0.0,0.04,1.79,-0.01,0.0,0.01,147302,1.14
0.78,0.39,2.49,83.57,12.15,0.0,0.92,4.48,0.46,0.01,0.06,4.94,0.04,0.01,0.11,90809,5.89
0.84,0.49,-1.15,85.68,7.13,0.0,0.99,3.35,0.36,0.0,0.02,4.12,-0.03,0.01,0.08,165689,3.01
0.12,,,,,0.01,,,,0.0,-0.13,0.0,0.01,-0.0,0.03,107441,2.04
0.03,,,,,0.01,,,,0.0,0.11,0.0,0.02,0.0,0.05,28601,3.45
0.84,0.46,-0.39,87.48,2.21,0.01,0.72,1.38,0.15,0.0,0.02,1.8,0.0,0.01,0.03,189143,2.51
0.52,0.67,0.12,73.41,1.38,0.01,0.41,2.24,0.14,0.0,0.03,1.73,0.0,0.0,0.01,182339,1.45
0.93,0.71,-1.7,82.79,14.01,0.01,1.14,8.26,0.89,0.01,0.08,10.21,-0.02,0.01,0.12,159182,8.91
0.86,0.86,0.13,85.71,13.37,0.01,1.11,10.08,1.02,0.01,0.1,11.95,-0.0,0.01,0.13,36107,11.26
0.65,0.49,-4.8,75.17,15.71,0.0,1.22,5.47,0.7,0.01,0.04,7.47,-0.06,0.01,0.15,111527,5.62
0.86,0.62,-2.7,88.78,11.29,0.01,0.95,6.97,0.65,0.01,0.07,7.43,-0.03,0.01,0.11,137618,7.2
0.12,,,,,0.01,,,,0.0,-0.13,,0.01,-0.0,0.03,111050,
0.83,0.92,8.88,74.38,11.91,0.0,0.86,12.7,0.98,0.0,0.03,11.66,0.01,0.01,0.12,164006,3.86
0.03,1.07,5.93,1.41,6.37,0.01,0.28,23.85,0.57,0.0,0.11,6.88,0.02,0.0,0.05,130094,3.45
0.94,1.13,0.86,75.73,3.0,0.01,0.87,3.94,0.35,0.0,0.02,4.22,-0.0,0.01,0.03,157490,2.99
0.84,0.45,-1.45,86.51,7.09,0.0,0.99,3.04,0.33,0.0,0.02,3.82,-0.03,0.01,0.08,52226,3.01
0.93,0.86,-0.34,95.43,10.14,0.01,0.88,9.68,0.79,0.01,0.08,9.38,-0.02,0.01,0.12,63098,8.91
0.73,0.22,0.63,68.79,13.06,0.0,0.9,2.24,0.3,0.0,0.04,2.82,0.02,0.01,0.13,36206,4.23
0.86,0.52,-4.5,84.84,14.12,0.01,1.16,5.69,0.68,0.01,0.1,7.41,-0.0,0.01,0.13,81314,11.26
0.93,0.66,-2.8,93.34,12.41,0.01,1.07,7.18,0.74,0.01,0.08,8.48,-0.02,0.01,0.12,124046,8.91
0.96,0.71,0.1,97.35,6.25,0.01,0.93,4.71,0.44,0.0,0.04,5.17,-0.0,0.01,0.07,38519,5.09
0.12,,,,,0.01,,,,0.0,-0.13,0.0,0.01,-0.0,0.03,57212,2.04
0.97,,,,,0.01,,,,0.01,0.07,0.0,0.0,0.01,0.09,224009,9.53
0.0,0.98,6.57,63.29,25.68,0.0,1.82,13.45,2.17,0.0,0.0,25.36,0.0,0.0,0.0,121139,0.0
0.84,,,,,0.01,,,,0.0,0.02,0.0,0.0,0.01,0.03,126728,2.51
0.6,0.34,-4.21,46.9,15.03,0.0,0.92,4.56,0.5,0.0,0.03,5.0,-0.07,0.01,0.16,234782,3.94
0.89,0.91,1.68,90.79,6.94,0.01,1.0,6.36,0.6,0.0,0.04,7.13,-0.01,0.01,0.08,208493,5.12
0.53,0.11,-4.55,66.71,13.6,0.0,1.0,0.64,0.2,0.01,0.07,1.45,0.01,0.01,0.12,72899,6.08
0.53,0.64,2.94,50.13,11.56,0.0,0.74,9.54,0.69,0.01,0.07,7.85,0.01,0.01,0.12,61118,6.08
0.78,0.87,8.01,58.15,11.16,0.0,0.71,13.56,0.88,0.01,0.06,10.39,0.04,0.01,0.11,118565,5.89
0.86,0.89,1.67,69.83,13.33,0.01,1.0,11.66,1.05,0.01,0.1,12.42,-0.0,0.01,0.13,59741,11.26
